sample_id,status_raw,turno,tem_obs,classe
SMP-006600,AGUARDANDO REINSPEÇÃO,B,True,revisar
SMP-010801,EM AJUSTE,C,False,valido_automatico
SMP-005885,ESPECIFICAÇÃO EM REVISÃO,B,True,revisar
SMP-000592,FORA DE ESPECIFICACAO,A,True,recusar_automatico
SMP-009151,APROVADO PARCIAL,A,False,valido_automatico
SMP-002773,FORA DE ESPECIFICACAO,C,True,recusar_automatico
SMP-008393,APROVADO PARCIAL,A,False,valido_automatico
SMP-006852,APROVADO PARCIAL,C,False,revisar
SMP-010299,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-002269,FORA DE ESPECIFICACAO,B,True,recusar_automatico
SMP-004383,AGUARDANDO REINSPEÇÃO,A,False,revisar
SMP-005461,AGUARDANDO REINSPEÇÃO,B,False,revisar
SMP-004531,EM ANALISE,A,True,revisar
SMP-008627,AJUSTE CONCLUIDO,A,False,valido_automatico
SMP-002265,REINSPECAO REPROVADA,B,True,recusar_automatico
SMP-001108,FORA DE ESPECIFICACAO,A,False,recusar_automatico
SMP-003035,REINSPECAO REPROVADA,C,False,recusar_automatico
SMP-002190,CANCELADO,B,True,recusar_automatico
SMP-009292,APROVADO PARCIAL,A,True,valido_automatico
SMP-000338,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-000460,CANCELADO,A,False,recusar_automatico
SMP-011567,EM ANÁLISE,C,False,valido_automatico
SMP-006638,AGUARDANDO REINSPEÇÃO,B,False,revisar
SMP-008795,EM AJUSTE,A,True,valido_automatico
SMP-003093,FORA DE ESPECIFICACAO,C,False,recusar_automatico
SMP-009606,AJUSTE CONCLUIDO,B,False,valido_automatico
SMP-000538,CANCELADO,A,True,recusar_automatico
SMP-011434,EM AJUSTE,C,True,valido_automatico
SMP-000445,CANCELADO,A,True,recusar_automatico
SMP-010770,APROVADO PARCIAL,C,True,valido_automatico
SMP-003060,CANCELADO,C,True,recusar_automatico
SMP-002992,FORA DE ESPECIFICACAO,C,False,recusar_automatico
SMP-004221,EM ANALISE,A,True,revisar
SMP-009392,EM AJUSTE,B,False,valido_automatico
SMP-008355,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-011037,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-002864,REINSPECAO REPROVADA,C,True,recusar_automatico
SMP-005559,EM ANALISE,B,False,revisar
SMP-011792,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-008221,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-011176,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-004052,APROVADO PARCIAL,A,False,revisar
SMP-003480,CANCELADO,C,False,recusar_automatico
SMP-003549,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-010883,EM AJUSTE,C,True,valido_automatico
SMP-009214,APROVADO PARCIAL,A,False,valido_automatico
SMP-009585,AJUSTE CONCLUIDO,B,True,valido_automatico
SMP-008900,EM AJUSTE,A,False,valido_automatico
SMP-004111,ESPECIFICAÇÃO EM REVISÃO,A,False,revisar
SMP-001999,CANCELADO,B,False,recusar_automatico
SMP-011183,APROVADO PARCIAL,C,False,valido_automatico
SMP-004187,ESPECIFICAÇÃO EM REVISÃO,A,False,revisar
SMP-007606,EM ANALISE,C,False,revisar
SMP-009108,EM AJUSTE,A,True,valido_automatico
SMP-000469,REINSPECAO REPROVADA,A,False,recusar_automatico
SMP-002599,REINSPECAO REPROVADA,B,False,recusar_automatico
SMP-004792,PENDENTE,A,True,revisar
SMP-002758,AJUSTE REPROVADO,C,False,recusar_automatico
SMP-003117,FORA DE ESPECIFICACAO,C,False,recusar_automatico
SMP-008804,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-008243,AJUSTE REPROVADO,A,False,valido_automatico
SMP-002488,AJUSTE REPROVADO,B,True,recusar_automatico
SMP-002354,CANCELADO,B,True,recusar_automatico
SMP-005340,ESPECIFICAÇÃO EM REVISÃO,B,False,revisar
SMP-001059,AJUSTE REPROVADO,A,False,recusar_automatico
SMP-005750,PENDENTE,B,True,revisar
SMP-010010,EM ANÁLISE,B,True,valido_automatico
SMP-009359,APROVADO PARCIAL,B,False,valido_automatico
SMP-007714,AGUARDANDO REINSPEÇÃO,C,True,revisar
SMP-007356,PENDENTE,C,False,revisar
SMP-007340,ESPECIFICAÇÃO EM REVISÃO,C,True,revisar
SMP-008156,APROVADO PARCIAL,A,False,valido_automatico
SMP-006618,PENDENTE,B,False,revisar
SMP-000372,FORA DE ESPECIFICACAO,A,True,recusar_automatico
SMP-007736,AGUARDANDO REINSPEÇÃO,C,False,revisar
SMP-003137,CANCELADO,C,False,recusar_automatico
SMP-003697,REINSPECAO REPROVADA,C,False,recusar_automatico
SMP-008061,EM AJUSTE,A,False,valido_automatico
SMP-007684,PENDENTE,C,False,revisar
SMP-010979,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-011750,EM AJUSTE,C,False,valido_automatico
SMP-005731,ESPECIFICAÇÃO EM REVISÃO,B,True,revisar
SMP-002383,REINSPECAO REPROVADA,B,False,recusar_automatico
SMP-008813,AJUSTE CONCLUIDO,A,True,valido_automatico
SMP-009225,EM AJUSTE,A,True,valido_automatico
SMP-005476,AGUARDANDO REINSPEÇÃO,B,False,revisar
SMP-004992,CANCELADO,A,False,revisar
SMP-003417,CANCELADO,C,True,recusar_automatico
SMP-010510,APROVADO PARCIAL,B,False,valido_automatico
SMP-005792,EM ANALISE,B,False,revisar
SMP-006780,ESPECIFICAÇÃO EM REVISÃO,C,False,revisar
SMP-001431,REINSPECAO REPROVADA,B,False,recusar_automatico
SMP-001474,ESPECIFICAÇÃO EM REVISÃO,B,False,recusar_automatico
SMP-002428,AGUARDANDO REINSPEÇÃO,B,False,recusar_automatico
SMP-000270,FORA DE ESPECIFICACAO,A,True,recusar_automatico
SMP-010559,EM AJUSTE,B,False,valido_automatico
SMP-011835,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-004663,PENDENTE,A,True,revisar
SMP-010141,EM AJUSTE,B,False,valido_automatico
SMP-000723,REINSPECAO REPROVADA,A,False,recusar_automatico
SMP-001473,FORA DE ESPECIFICACAO,B,True,recusar_automatico
SMP-008672,PENDENTE,A,False,valido_automatico
SMP-011317,EM ANÁLISE,C,True,valido_automatico
SMP-009649,EM ANÁLISE,B,True,valido_automatico
SMP-011459,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-006278,ESPECIFICAÇÃO EM REVISÃO,B,False,revisar
SMP-001959,FORA DE ESPECIFICACAO,B,False,recusar_automatico
SMP-001531,CANCELADO,B,False,recusar_automatico
SMP-011955,AJUSTE CONCLUIDO,C,True,valido_automatico
SMP-001555,AJUSTE REPROVADO,B,False,recusar_automatico
SMP-011544,AJUSTE CONCLUIDO,C,False,valido_automatico
SMP-010232,EM AJUSTE,B,False,valido_automatico
